City,month,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Xylene_missing,year
Amritsar,1,54.745999999999995,105.76811764705883,16.813764705882353,30.95141176470588,48.03682352941176,10.766588235294117,0.5752941176470588,6.441044776119403,17.557499999999997,5.110588235294117,3.766588235294117,3.969462365591398,119.58064516129032,0.07526881720430108,2019.0
Amritsar,2,49.74107142857143,114.39809523809524,19.846309523809524,21.284404761904764,41.64670731707317,9.547023809523811,0.47000000000000003,6.911147540983606,21.36769230769231,5.541463414634146,4.30719512195122,3.7017241379310346,116.74712643678161,0.05747126436781609,2018.9655172413793
Amritsar,3,42.60406504065041,91.1320325203252,14.211833333333335,14.214634146341464,27.1376404494382,10.639756097560976,0.5539516129032258,7.772446808510638,26.535916666666665,3.6205555555555557,2.4672222222222224,3.3591129032258062,95.99193548387096,0.27419354838709675,2018.5
Amritsar,4,38.00288288288288,91.54923076923077,18.911975308641974,21.056846846846845,35.81090909090909,16.74623853211009,0.5763063063063063,6.475925925925925,26.75777777777778,3.129818181818182,1.817818181818182,3.5813333333333333,92.1,0.5416666666666666,2018.5
Amritsar,5,72.00065573770492,109.98254385964913,20.435,16.55467741935484,33.49896103896104,20.134677419354837,0.5961290322580646,13.442357723577237,28.9405,3.0080645161290325,1.8507792207792206,5.564758064516129,114.61290322580645,0.3790322580645161,2018.5
Amritsar,6,44.96865546218487,134.49008547008546,19.54596638655462,15.395210084033613,28.49674157303371,17.350084033613445,0.5761386138613861,9.376806722689075,23.91964912280702,2.2844554455445545,1.9754081632653062,5.840583333333333,127.15,0.19166666666666668,2018.5
Amritsar,7,37.96080459770115,75.10098901098901,20.266813186813188,14.247032967032967,21.18111111111111,12.87054945054945,0.2198780487804878,6.138461538461539,20.57868131868132,2.592307692307692,2.0056962025316456,5.27031914893617,83.42553191489361,0.1702127659574468,2018.0212765957447
Amritsar,8,30.702909090909092,74.67783132530121,11.89132530120482,10.581566265060241,20.806949152542373,9.154216867469879,0.4423529411764706,6.726746987951806,20.133373493975903,3.053780487804878,1.7204819277108434,8.675483870967742,82.78494623655914,0.10752688172043011,2018.0
Amritsar,9,45.18633333333333,100.036,12.63888888888889,12.449666666666667,23.06433333333333,10.933522727272727,0.5494444444444445,7.402888888888889,18.160111111111114,3.706555555555555,3.384666666666667,10.097777777777777,97.03333333333333,0.0,2018.0
Amritsar,10,84.90140625,165.1675,16.575238095238095,19.407738095238095,36.888555555555556,29.474444444444444,0.3398924731182796,7.676666666666667,21.332441860465114,6.946989247311828,2.956129032258065,8.423548387096774,159.59139784946237,0.0,2018.0
Amritsar,11,89.31266666666667,183.7872222222222,31.230666666666668,25.378555555555558,54.16477777777778,15.908111111111111,0.8211111111111111,9.443164556962024,20.112111111111112,5.237777777777778,5.330222222222223,11.05011111111111,204.82222222222222,0.0,2018.0
Amritsar,12,75.55913978494624,143.55440860215054,22.43827956989247,23.67430107526882,43.92354838709677,6.007311827956989,0.8066666666666666,6.533827160493828,20.70516129032258,5.633218390804598,4.271264367816093,7.59483870967742,161.16129032258064,0.06451612903225806,2018.0
Bengaluru,1,46.93701298701299,102.03414473684211,13.236021505376344,38.6663440860215,28.94720430107527,23.376627906976747,1.8012365591397848,8.733924731182796,40.278314606741574,4.894235294117647,5.474853801169591,0.98,112.7741935483871,1.0,2017.5
Bengaluru,2,45.22661971830986,102.30428571428571,9.022823529411763,36.314764705882354,22.57994117647059,22.225263157894734,1.7574117647058822,6.0754705882352935,42.63614906832298,3.29476821192053,3.095398773006135,0.98,110.91176470588235,1.0,2017.5058823529412
Bengaluru,3,44.84358024691358,107.78883116883117,7.715891891891892,29.14691891891892,20.823709677419355,21.46232258064516,2.5393010752688174,5.766270270270271,46.46438888888889,10.958901734104046,8.043924731182797,0.98,109.44623655913979,1.0,2017.5
Bengaluru,4,37.07168674698795,93.69118055555556,5.956277777777778,22.84027777777778,17.2235,20.58122448979592,1.3101123595505617,5.241055555555556,53.258993710691826,2.403294117647059,3.35586592178771,0.98,101.40555555555555,1.0,2017.5
Bengaluru,5,34.53265193370166,65.53565217391305,6.674623655913979,24.47,15.321344086021504,15.824836601307188,1.5063243243243245,5.022903225806451,36.15593220338983,2.9377528089887637,2.4659677419354837,0.98,84.74193548387096,1.0,2017.5
Bengaluru,6,22.476829268292683,53.71333333333333,6.087078651685394,19.07438202247191,13.14237288135593,19.589399999999998,1.2616949152542372,5.319269662921348,21.41577639751553,1.0479746835443038,1.8691463414634149,0.98,72.31666666666666,1.0,2017.5
Bengaluru,7,24.968098591549296,65.09778688524591,9.976602564102564,20.046666666666667,13.566794871794873,19.404600000000002,2.749225806451613,4.855128205128205,21.378257575757573,3.1054032258064517,2.9188111888111887,0.98,95.03846153846153,1.0,2017.0192307692307
Bengaluru,8,21.86718120805369,59.909075630252104,10.40032894736842,19.62953947368421,14.056883116883117,22.833333333333332,4.088322580645161,4.4232894736842105,16.812275862068965,2.706638655462185,13.312781954887217,0.98,83.33548387096774,1.0,2017.0
